Startup Name,Founded Year,Headquarters,Location (Locality),Sector/Industry,Total Funding (INR),Round Type,Investor/s (Proxy)
Dahiwadi Solar,2023,Satara,Dahiwadi,Renewable Energy,4000000,Seed,Local Angel Group B
Mahabaleshwar Water,2022,Satara,Mahabaleshwar,Water-Tech,2000000,Pre-Seed,MSInS (Govt Scheme)
City Center Retail,2019,Satara,City Center,Services/Retail,35000000,Series A,National PE Fund
Karad Fin Services,2021,Satara,Karad,Financial Services,15000000,Angel,Pune VC Fund
MIDC Safety Tech,2023,Satara,MIDC Area,Engineering/Safety,5000000,Seed,Local Angel Group A
Phaltan Health Tech,2024,Satara,Phaltan,HealthTech,1000000,Pre-Seed,Bootstrap
Wai Construction,2016,Satara,Wai,Construction/Infra,100000000,Series C,Private Stakeholders
Koregaon Auto,2018,Satara,Koregaon,Manufacturing,75000000,Series B,National PE Fund
Lonand Logistics,2021,Satara,Lonand,Logistics,25000000,Angel,Cooperative Bank Loan
Khandala Tourism,2023,Satara,Khandala,Tourism/Hospitality,3000000,Seed,Local Angel Group B
Patan Edutech,2024,Satara,Patan,EdTech/Skilling,500000,Pre-Seed,MSInS (Govt Scheme)
Dahiwadi Farm Tech,2019,Satara,Dahiwadi,Agri-Tech,50000000,Series A,NABARD Linked Fund
Javali Resorts,2017,Satara,Javali,Tourism/Hospitality,65000000,Series B,Private Stakeholders
Satara Digital Media,2022,Satara,City Center,Services/Media,3000000,Seed,Local Angel Group A
Karad Retail Chain,2020,Satara,Karad,Services/Retail,18000000,Angel,Pune VC Fund
MIDC Ceramics,2015,Satara,MIDC Area,Manufacturing,110000000,Series C,National PE Fund
Phaltan Education,2019,Satara,Phaltan,EdTech/Skilling,45000000,Series B,Private Stakeholders
Wai Local Retail,2024,Satara,Wai,Services/Retail,750000,Pre-Seed,Bootstrap
Koregaon Water,2021,Satara,Koregaon,Water-Tech,4000000,Seed,Local Angel Group B
Lonand Trade,2023,Satara,Lonand,Services/Retail,1500000,Seed,Local Angel Group A
Khandala Solar,2021,Satara,Khandala,Renewable Energy,10000000,Angel,Local Angel Group B
Patan Dairy,2022,Satara,Patan,Food Processing,3500000,Seed,NABARD Linked Fund
Dahiwadi Retail,2024,Satara,Dahiwadi,Services/Retail,750000,Pre-Seed,Bootstrap
Javali Eco Tours,2018,Satara,Javali,Tourism/Hospitality,15000000,Angel,Cooperative Bank Loan
Satara IT,2016,Satara,City Center,Services/IT,70000000,Series B,National PE Fund
Karad Health,2022,Satara,Karad,HealthTech,3000000,Seed,MSInS (Govt Scheme)
MIDC Engineering,2020,Satara,MIDC Area,Engineering,45000000,Series A,Pune VC Fund
Phaltan EdTech,2023,Satara,Phaltan,EdTech/Skilling,1500000,Seed,Local Angel Group A
Wai Food,2017,Satara,Wai,Food Processing,50000000,Series A,NABARD Linked Fund
Koregaon Manufacturing,2021,Satara,Koregaon,Manufacturing,25000000,Angel,Pune VC Fund
Lonand Agri,2024,Satara,Lonand,Agri-Tech,500000,Pre-Seed,Bootstrap
Khandala Services,2019,Satara,Khandala,Services,20000000,Debt,Private Stakeholders
Patan Infra,2023,Satara,Patan,Construction/Infra,4000000,Seed,Local Angel Group B
Dahiwadi Farm Tech,2021,Satara,Dahiwadi,Agri-Tech,12000000,Angel,MSInS (Govt Scheme)
Mahabaleshwar Goods,2024,Satara,Mahabaleshwar,Retail,1000000,Pre-Seed,Bootstrap
City Center Auto,2015,Satara,City Center,Manufacturing,110000000,Series C,National PE Fund
Karad Pharma,2023,Satara,Karad,HealthTech,1500000,Seed,Local Angel Group A
MIDC Composites,2019,Satara,MIDC Area,Manufacturing,65000000,Series B,Private Stakeholders
Phaltan Real Estate,2022,Satara,Phaltan,Real Estate,50000000,Debt,Cooperative Bank Loan
Wai Tourism App,2024,Satara,Wai,Tourism/Hospitality,750000,Pre-Seed,Bootstrap
Koregaon Edutech,2018,Satara,Koregaon,EdTech/Skilling,35000000,Series A,National PE Fund
Lonand Logistics,2020,Satara,Lonand,Logistics,28000000,Angel,Pune VC Fund
Khandala Agri,2023,Satara,Khandala,Agri-Tech,4000000,Seed,MSInS (Govt Scheme)
Patan Food,2016,Satara,Patan,Food Processing,80000000,Series B,NABARD Linked Fund
Dahiwadi Retail,2022,Satara,Dahiwadi,Services/Retail,1500000,Seed,Local Angel Group B
Javali Agri,2020,Satara,Javali,Agri-Tech,25000000,Angel,Cooperative Bank Loan
Satara Services,2024,Satara,City Center,Services,500000,Pre-Seed,Bootstrap
Karad Renewable,2018,Satara,Karad,Renewable Energy,40000000,Series A,Private Stakeholders
MIDC Water,2022,Satara,MIDC Area,Water-Tech,3000000,Seed,Local Angel Group A
Phaltan Pharma,2017,Satara,Phaltan,HealthTech,55000000,Series B,National PE Fund
Wai Construction,2021,Satara,Wai,Construction/Infra,10000000,Debt,Cooperative Bank Loan
Koregaon Services,2023,Satara,Koregaon,Services,1200000,Seed,MSInS (Govt Scheme)
Lonand Trade,2020,Satara,Lonand,Services/Retail,15000000,Angel,Pune VC Fund
Khandala Solar,2022,Satara,Khandala,Renewable Energy,4000000,Seed,Local Angel Group B
Patan Edutech,2024,Satara,Patan,EdTech/Skilling,500000,Pre-Seed,Bootstrap
Dahiwadi Logistics,2016,Satara,Dahiwadi,Logistics,65000000,Series A,National PE Fund
Mahabaleshwar Tourism,2021,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group A
City Center Auto,2023,Satara,City Center,Manufacturing,2000000,Seed,Local Angel Group B
Karad Food,2019,Satara,Karad,Food Processing,25000000,Series A,NABARD Linked Fund
MIDC Engineering,2022,Satara,MIDC Area,Engineering,18000000,Angel,Pune VC Fund
Phaltan Farm,2020,Satara,Phaltan,Agri-Tech,45000000,Series B,Private Stakeholders
Wai Health,2018,Satara,Wai,HealthTech,55000000,Series A,National PE Fund
Koregaon Real Estate,2024,Satara,Koregaon,Real Estate,1500000,Pre-Seed,Bootstrap
Lonand Agri,2017,Satara,Lonand,Agri-Tech,60000000,Series A,NABARD Linked Fund
Khandala Services,2023,Satara,Khandala,Services,2000000,Seed,MSInS (Govt Scheme)
Patan Manufacturing,2021,Satara,Patan,Manufacturing,35000000,Angel,Pune VC Fund
Dahiwadi Retail,2015,Satara,Dahiwadi,Services/Retail,100000000,Series C,Private Stakeholders
Javali Resorts,2022,Satara,Javali,Tourism/Hospitality,1000000,Pre-Seed,Bootstrap
Satara IT,2020,Satara,City Center,Services/IT,40000000,Series A,National PE Fund
Karad Auto,2016,Satara,Karad,Manufacturing,75000000,Series B,Private Stakeholders
MIDC Safety,2023,Satara,MIDC Area,Engineering/Safety,3500000,Seed,Local Angel Group A
Phaltan Logistics,2018,Satara,Phaltan,Logistics,30000000,Debt,Cooperative Bank Loan
Wai Agri,2024,Satara,Wai,Agri-Tech,500000,Pre-Seed,Bootstrap
Koregaon Services,2023,Satara,Koregaon,Services,2500000,Seed,MSInS (Govt Scheme)
Lonand Water,2022,Satara,Lonand,Water-Tech,3500000,Seed,Local Angel Group A
Khandala Edutech,2024,Satara,Khandala,EdTech/Skilling,750000,Pre-Seed,Bootstrap
Patan Agri,2020,Satara,Patan,Agri-Tech,20000000,Angel,Cooperative Bank Loan
Dahiwadi Logistics,2018,Satara,Dahiwadi,Logistics,45000000,Series B,Private Stakeholders
Mahabaleshwar Retreat,2023,Satara,Mahabaleshwar,Tourism/Hospitality,3000000,Seed,Local Angel Group B
City Center Cafe,2021,Satara,City Center,Food Processing,5000000,Angel,Local Angel Group A
Karad Infra,2019,Satara,Karad,Construction/Infra,80000000,Series B,National PE Fund
MIDC Chemical,2017,Satara,MIDC Area,Manufacturing,90000000,Series B,Private Stakeholders
Phaltan Services,2024,Satara,Phaltan,Services,500000,Pre-Seed,Bootstrap
Wai Local Trade,2022,Satara,Wai,Services/Retail,1500000,Seed,Local Angel Group B
Koregaon Agri-Products,2020,Satara,Koregaon,Food Processing,25000000,Angel,NABARD Linked Fund
Lonand Real Estate,2023,Satara,Lonand,Real Estate,4000000,Seed,Local Angel Group A
Khandala Solar,2015,Satara,Khandala,Renewable Energy,100000000,Series C,National PE Fund
Patan Infra,2019,Satara,Patan,Construction/Infra,55000000,Series A,Private Stakeholders
Dahiwadi Services,2022,Satara,Dahiwadi,Services,1800000,Seed,Local Angel Group B
Javali Adventure,2023,Satara,Javali,Tourism/Hospitality,2500000,Seed,Local Angel Group A
Satara Health,2024,Satara,City Center,HealthTech,750000,Pre-Seed,MSInS (Govt Scheme)
Karad Edutech,2020,Satara,Karad,EdTech/Skilling,15000000,Angel,Pune VC Fund
MIDC Automation,2018,Satara,MIDC Area,Engineering/Robotics,60000000,Series B,Private Stakeholders
Phaltan Dairy,2021,Satara,Phaltan,Food Processing,35000000,Angel,NABARD Linked Fund
Wai Food,2023,Satara,Wai,Food Processing,2500000,Seed,Local Angel Group A
Koregaon Logistics,2019,Satara,Koregaon,Logistics,45000000,Series B,Private Stakeholders
Lonand Water,2024,Satara,Lonand,Water-Tech,500000,Pre-Seed,Bootstrap
Khandala Real Estate,2017,Satara,Khandala,Real Estate,95000000,Debt,Cooperative Bank Loan
Patan Agri,2020,Satara,Patan,Agri-Tech,20000000,Angel,NABARD Linked Fund
Dahiwadi Construction,2015,Satara,Dahiwadi,Construction/Infra,120000000,Series C,National PE Fund
Mahabaleshwar Tourism,2022,Satara,Mahabaleshwar,Tourism/Hospitality,1500000,Seed,Local Angel Group B
City Center FinTech,2024,Satara,City Center,Financial Services,1000000,Pre-Seed,MSInS (Govt Scheme)
Karad Auto,2021,Satara,Karad,Manufacturing,50000000,Series A,Pune VC Fund
MIDC Components,2023,Satara,MIDC Area,Engineering,4000000,Seed,Local Angel Group A
Phaltan Edutech,2016,Satara,Phaltan,EdTech/Skilling,85000000,Series B,Private Stakeholders
Wai Infrastructure,2019,Satara,Wai,Construction/Infra,60000000,Debt,Cooperative Bank Loan
Koregaon Services,2022,Satara,Koregaon,Services,2000000,Seed,Local Angel Group B
Lonand Food,2018,Satara,Lonand,Food Processing,45000000,Series B,NABARD Linked Fund
Khandala Logistics,2020,Satara,Khandala,Logistics,30000000,Angel,Pune VC Fund
Patan Renewable,2024,Satara,Patan,Renewable Energy,500000,Pre-Seed,Bootstrap
Dahiwadi Farm,2023,Satara,Dahiwadi,Agri-Tech,3500000,Seed,Local Angel Group A
Javali Eco Stay,2021,Satara,Javali,Tourism/Hospitality,2500000,Angel,MSInS (Govt Scheme)
Satara IT,2015,Satara,City Center,Services/IT,100000000,Series C,National PE Fund
Karad Health,2024,Satara,Karad,HealthTech,750000,Pre-Seed,Bootstrap
MIDC Safety,2022,Satara,MIDC Area,Engineering/Safety,4000000,Seed,Local Angel Group B
Phaltan Logistics,2019,Satara,Phaltan,Logistics,35000000,Debt,Private Stakeholders
Wai Agri,2021,Satara,Wai,Agri-Tech,15000000,Angel,NABARD Linked Fund
Koregaon Real Estate,2018,Satara,Koregaon,Real Estate,80000000,Series B,Private Stakeholders
Lonand Water,2023,Satara,Lonand,Water-Tech,1500000,Seed,Local Angel Group A
Khandala Edutech,2020,Satara,Khandala,EdTech/Skilling,12000000,Angel,Cooperative Bank Loan
Patan Agri,2024,Satara,Patan,Agri-Tech,500000,Pre-Seed,Bootstrap
Dahiwadi Services,2017,Satara,Dahiwadi,Services,70000000,Series B,National PE Fund
